"id","name","specialization","degree","hospital_name","link"
15,"Dr. Nitin Sood","Medical Oncology 
                                                    Bone Marrow Transplant 
                                                    Cancer Care","CCT (Haemato Oncology) , F.R.C. (Pathology) , MRCPath (Associate Haematology) , MRCP (UK) , D.N.B. (General Medicine) , M.D. (General Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/medical-oncology/doctor/dr-nitin-sood"
16,"Dr. Praanjal Gupta","Urology 
                                                    Renal Care","Senior Clinical Fellow- Robotic urology, Uro-oncology and Renal Transplant , M.Ch. (Urology and Renal Transplant) , M.S. (General Surgery) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/urology-nephrology/doctor/dr-praanjal-gupta"
17,"Dr. Praanjal Gupta","Urology 
                                                    Renal Care","Senior Clinical Fellow- Robotic urology, Uro-oncology and Renal Transplant , M.Ch. (Urology and Renal Transplant) , M.S. (General Surgery) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/urology/doctor/dr-praanjal-gupta"
18,"Dr. Rajesh Kumar Jaiswal","Nephrology 
                                                    Renal Care","DrNB Nephrology (institute of liver and biliary sci sciences New Delhi) , MD Internal Medicine , MBBS (King George Medical University )","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/urology-nephrology/doctor/dr-rajesh-kumar-jaiswal"
19,"Dr. Rajesh Kumar Jaiswal","Nephrology 
                                                    Renal Care","DrNB Nephrology (institute of liver and biliary sci sciences New Delhi) , MD Internal Medicine , MBBS (King George Medical University )","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/nephrology/doctor/dr-rajesh-kumar-jaiswal"
20,"Dr. Suman Karhana","Internal Medicine","MBBS , MD - Medicine","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/internal-medicine/doctor/dr-suman-karhana"
21,"Dr. Swapnil Dhampalwar","Gastroenterology 
                                                    Gastrosciences","Fellowship in Clinical & Transplant Hepatology , DM Hepatology , MD General Medicine , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-swapnil-dhampalwar"
22,"Dr. Swapnil Dhampalwar","Gastroenterology 
                                                    Gastrosciences","Fellowship in Clinical & Transplant Hepatology , DM Hepatology , MD General Medicine , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/digestive-and-hepatobiliary/doctor/dr-swapnil-dhampalwar"
23,"Dr. Vaibhav Saxena","Cardiology 
                                                    Cardiac Care","D.M.(Cardiology) , M.D.(Medicine) , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/cardiology/doctor/dr-vaibhav-saxena"
24,"Dr. Vaibhav Saxena","Cardiology 
                                                    Cardiac Care","D.M.(Cardiology) , M.D.(Medicine) , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/cardiac/doctor/dr-vaibhav-saxena"
25,"Dr. Abhinav Chhabra","Clinical & Preventive Cardiology 
                                                    Cardiac Care","MBBS , MD General Medicine , DM Cardiology","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-abhinav-chhabra"
26,"Dr. Abhinav Chhabra","Clinical & Preventive Cardiology 
                                                    Cardiac Care","MBBS , MD General Medicine , DM Cardiology","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-abhinav-chhabra"
27,"Dr. Abhishek Kathuria","Gastroenterology 
                                                    Gastrosciences","D.M. (Gastroenterology) , M.D. (Medicine) , M.B.BS.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-abhishek-kathuria"
28,"Dr. Abhishek Kathuria","Gastroenterology 
                                                    Gastrosciences","D.M. (Gastroenterology) , M.D. (Medicine) , M.B.BS.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/digestive-and-hepatobiliary/doctor/dr-abhishek-kathuria"
29,"Dr. Aditya Aggarwal","Plastic, Aesthetic and Reconstructive Surgery","Diplomate of National Board (Plastic Surgery) , M.Ch. (Plastic Surgery) , M.S. (General Surgery) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/plastic-surgery/doctor/dr-aditya-aggarwal"
30,"Dr. Aditya Singhal","Neurosurgery 
                                                    Neurosciences","DNB ( Neurosurgery ) , MS ( General Surgery) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurology/doctor/dr-aditya-singhal"
31,"Dr. Aditya Singhal","Neurosurgery 
                                                    Neurosciences","DNB ( Neurosurgery ) , MS ( General Surgery) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurosurgery/doctor/dr-aditya-singhal"
32,"Dr. Ahmar Nauman Tarique","Clinical & Preventive Cardiology 
                                                    Cardiac Care","Fellowship Non-Invasive Cardiology , 
MD (General Medicine) , 
MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-ahmar-nauman-tarique"
33,"Dr. Ahmar Nauman Tarique","Clinical & Preventive Cardiology 
                                                    Cardiac Care","Fellowship Non-Invasive Cardiology , 
MD (General Medicine) , 
MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-ahmar-nauman-tarique"
34,"Dr. Ajmer Singh","Critical Care","M.D. (Anaesthesiology) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/critical-care/doctor/dr-ajmer-singh"
35,"Dr. Akanksha Batra","Neurology 
                                                    Neurosciences","M. Phil In Clinical Psychology , Master Of Arts in Clinical Psychology , Bachelor Of Arts (psychology)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurology/doctor/dr-akanksha-batra"
36,"Dr. Akanksha Batra","Neurology 
                                                    Neurosciences","M. Phil In Clinical Psychology , Master Of Arts in Clinical Psychology , Bachelor Of Arts (psychology)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neuro/doctor/dr-akanksha-batra"
37,"Dr. Akanksha Rastogi","Internal Medicine","DNB (Internal Medicine) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/internal-medicine/doctor/dr-akanksha-rastogi"
38,"Dr. Alka Ashmita Singhal","Radiology & Imaging","RMSK (Musculoskeletal Ultrasound) , Doppler and Vascular Imaging , Fellowship in Medical Ultrasound , DMU , DMRD (Radiodiagnosis) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/radiology/doctor/dr-alka-ashmita-singhal"
39,"Dr. Amarender Singh Puri","Gastroenterology 
                                                    Gastrosciences","D.M. (Gastroenterology) , M.D. , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-amarender-singh-puri"
40,"Dr. Amarender Singh Puri","Gastroenterology 
                                                    Gastrosciences","D.M. (Gastroenterology) , M.D. , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/digestive-and-hepatobiliary/doctor/dr-amarender-singh-puri"
41,"Dr. Aneesh Srivastava","Urology 
                                                    Renal Care","M.ch ( UROLOGY ) , M.S. ( SURGERY ) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/urology-nephrology/doctor/dr-aneesh-srivastava"
42,"Dr. Aneesh Srivastava","Urology 
                                                    Renal Care","M.ch ( UROLOGY ) , M.S. ( SURGERY ) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/urology/doctor/dr-aneesh-srivastava"
43,"Dr. Ankur Atal Gupta","Liver Transplant","Fellowship (Liver Transplantation and Hepatobiliary Surgery) , ASTS Fellowship (Transplant & Hepatobiliary Surgery) , M.S. (General Surgery) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/liver-transplantation/doctor/dr-ankur-atal-gupta"
44,"Dr. Ankur Kaushik","Cardiac Care","M.B.B.S. , MD in General Medicine , DM Cardiology","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-ankur-kaushik"
45,"Dr. Ankur Mittal","Nephrology 
                                                    Renal Care","Doctorate of National Board (DrNB), NEPHROLOGY , Doctor of Medicine (M.D), GENERAL MEDICINE , Bachelor of Medicine and Bachelor of Surgery (M.B.B.S)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/urology-nephrology/doctor/dr-ankur-mittal"
46,"Dr. Ankur Mittal","Nephrology 
                                                    Renal Care","Doctorate of National Board (DrNB), NEPHROLOGY , Doctor of Medicine (M.D), GENERAL MEDICINE , Bachelor of Medicine and Bachelor of Surgery (M.B.B.S)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/nephrology/doctor/dr-ankur-mittal"
47,"Dr. Ankur Mudgal","Medical Oncology 
                                                    Cancer Care","DNB ( Medical Oncology ) , MD ( Radiation Oncology ) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-ankur-mudgal"
48,"Dr. Ankur Mudgal","Medical Oncology 
                                                    Cancer Care","DNB ( Medical Oncology ) , MD ( Radiation Oncology ) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/medical-oncology/doctor/dr-ankur-mudgal"
49,"Dr. Ankur Rustagi","Dentistry","Fellow OMFS, MDS, Fellow, BDS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/dentistry/doctor/dr-ankur-rustagi"
50,"Dr. Anshu Mahajan","Neurology 
                                                    Neurosciences","Fellowship in Intervention Neuroradiology , 
DM , 
MD , 
M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurology/doctor/dr-anshu-mahajan"
51,"Dr. Anshu Mahajan","Neurology 
                                                    Neurosciences","Fellowship in Intervention Neuroradiology , 
DM , 
MD , 
M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neuro/doctor/dr-anshu-mahajan"
52,"Dr. Anshul Patodia","Cardiac Care","EP Fellowship Completed Under Dr. Yash lokhandwala , D.M (Cardiology) , M.D (General Medicine) , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-anshul-patodia"
53,"Dr. Anubhav Harish Khandelwal","Radiology & Imaging","Asan International Radiology Masters Course , International Intensive course for Chemoembolization , Fellowship in Interventional Radiology , DNB (Radiology) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/radiology/doctor/dr-anubhav-harish-khandelwal"
54,"Dr. Anup Kumar Thacker","Neurology 
                                                    Neurosciences","D.M. (Neurology) , Dip. NBE (Medicine) , M.D. (Medicine)","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/neurology/doctor/dr-anup-kumar-thacker"
55,"Dr. Anup Kumar Thacker","Neurology 
                                                    Neurosciences","D.M. (Neurology) , Dip. NBE (Medicine) , M.D. (Medicine)","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/neuro/doctor/dr-anup-kumar-thacker"
56,"Dr. Anurag Goyal","Cardiac Care","Mch: Adult And Paediatric Cardiothoracic Vascular Surgery , MS: General And Laproscopic Surgery , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-anurag-goyal"
57,"Dr. Aparajita Kumar","Clinical & Preventive Cardiology 
                                                    Cardiac Care","Postgraduate Course Advanced Cardiology , PG Diploma Clinical Cardiology , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-aparajita-kumar"
58,"Dr. Aparajita Kumar","Clinical & Preventive Cardiology 
                                                    Cardiac Care","Postgraduate Course Advanced Cardiology , PG Diploma Clinical Cardiology , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-aparajita-kumar"
59,"Dr. Archit Gupta","GI Surgery, GI Oncology and Bariatric Surgery 
                                                    Gastrosciences","DrNB Surgical Gastroenterology , M.S., General Surgery , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-archit-gupta"
60,"Dr. Archit Gupta","GI Surgery, GI Oncology and Bariatric Surgery 
                                                    Gastrosciences","DrNB Surgical Gastroenterology , M.S., General Surgery , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gi-surgery/doctor/dr-archit-gupta"
61,"Dr. Arvind Kumar","Lung Transplant","MBBS , MS Surgery , MNAMS , FUICC , FACS , FICS , FIAGES","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/lung-transplantation-chest-surgery/doctor/dr-arvind-kumar"
62,"Dr. Aseem Kumar Tiwari","Lab & Pathology","BBTS Specialist Certificate in Stem Cell Transplantation
Science, LEAD Transformational Leadership Learning Series, Advanced Diploma in Flow Cytometry Techniques, MD (Pathology), M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/lab-pathology/doctor/dr-aseem-kumar-tiwari"
63,"Dr. Ashish Kumar Garg","Clinical & Preventive Cardiology 
                                                    Cardiac Care","DM Cardiology , MD Medicine , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-ashish-kumar-garg"
64,"Dr. Ashish Kumar Garg","Clinical & Preventive Cardiology 
                                                    Cardiac Care","DM Cardiology , MD Medicine , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-ashish-kumar-garg"
65,"Dr. Ashish Srivastava","Clinical & Preventive Cardiology 
                                                    Cardiac Care","M.D , Post Graduate Diploma , Fellowship in Non-Invasive Cardiology (FNIC)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-ashish-srivastava"
66,"Dr. Ashish Srivastava","Clinical & Preventive Cardiology 
                                                    Cardiac Care","M.D , Post Graduate Diploma , Fellowship in Non-Invasive Cardiology (FNIC)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-ashish-srivastava"
67,"Dr. Ashok Kumar Vaid","Medical Oncology 
                                                    Cancer Care","D.M. (Medical Oncology) , M.D. (General Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-ashok-kumar-vaid"
68,"Dr. Ashok Kumar Vaid","Medical Oncology 
                                                    Cancer Care","D.M. (Medical Oncology) , M.D. (General Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/medical-oncology/doctor/dr-ashok-kumar-vaid"
69,"Dr. Ashwini Kumar Setya","Gastroenterology 
                                                    Gastrosciences","DM Cardiology , MD in General Medicine , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-ashwini-kumar-setya"
70,"Dr. Ashwini Kumar Setya","Gastroenterology 
                                                    Gastrosciences","DM Cardiology , MD in General Medicine , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/digestive-and-hepatobiliary/doctor/dr-ashwini-kumar-setya"
71,"Dr. Avinash Kumar Singh","Cardiology 
                                                    Cardiac Care","D.M. (Cardiology) , M.D. (Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/cardiology/doctor/dr-avinash-kumar-singh"
72,"Dr. Avinash Kumar Singh","Cardiology 
                                                    Cardiac Care","D.M. (Cardiology) , M.D. (Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/lucknow-hospital/speciality/cardiac/doctor/dr-avinash-kumar-singh"
73,"Dr. Bhaarat","Medical Oncology 
                                                    Cancer Care","DrNB Clinical Hematology , MD Medicine , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-bhaarat"
74,"Dr. Bhaarat","Medical Oncology 
                                                    Cancer Care","DrNB Clinical Hematology , MD Medicine , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/medical-oncology/doctor/dr-bhaarat"
75,"Dr. Bhanu Pratap Singh","Medical Oncology 
                                                    Cancer Care","M.D (Anesth) , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-bhanu-pratap-singh"
76,"Dr. Bhanu Pratap Singh","Medical Oncology 
                                                    Cancer Care","M.D (Anesth) , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/medical-oncology/doctor/dr-bhanu-pratap-singh"
77,"Dr. Bhuvnesh Kumar Aggarwal","Cardiac Surgery 
                                                    Cardiac Care","M.Ch. (C.T.V.S.) , DNB (General Surgery) , M.S (General Surgery) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-bhuvnesh-kumar-aggarwal"
78,"Dr. Bhuvnesh Kumar Aggarwal","Cardiac Surgery 
                                                    Cardiac Care","M.Ch. (C.T.V.S.) , DNB (General Surgery) , M.S (General Surgery) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiac-surgery/doctor/dr-bhuvnesh-kumar-aggarwal"
79,"Dr. Bimal Kumar Sahu","Gastroenterology 
                                                    Gastrosciences","DM (Gastroenterology) - GIPMER , M.D (Medicine) - PGIMER , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-bimal-kumar-sahu"
80,"Dr. Bimal Kumar Sahu","Gastroenterology 
                                                    Gastrosciences","DM (Gastroenterology) - GIPMER , M.D (Medicine) - PGIMER , M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/digestive-and-hepatobiliary/doctor/dr-bimal-kumar-sahu"
81,"Dr. Charu Singh","Dentistry","MSc , B.D.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/dentistry/doctor/dr-charu-singh"
82,"Dr. Deepak Govil","Critical Care","European Diploma Intensive Care , M.D. (Anaesthesiology) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/critical-care/doctor/dr-deepak-govil-2"
83,"Dr. Deepak Aggarwal","Cardiac Surgery 
                                                    Cardiac Care","MBBS , MS (General Surgery, MCh)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-deepak-aggarwal"
84,"Dr. Deepak Aggarwal","Cardiac Surgery 
                                                    Cardiac Care","MBBS , MS (General Surgery, MCh)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiac-surgery/doctor/dr-deepak-aggarwal"
85,"Dr. Deepak Gupta","Radiation Oncology 
                                                    Cancer Care","P.D.C.R. (Clinical Research) , M.D. (Radiation Oncology) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-deepak-gupta"
86,"Dr. Deepak Gupta","Radiation Oncology 
                                                    Cancer Care","P.D.C.R. (Clinical Research) , M.D. (Radiation Oncology) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/radiation-oncology/doctor/dr-deepak-gupta"
87,"Dr. Deepak Keshav Bhangale","Neurosurgery 
                                                    Neurosciences","MCH NEUROSUREGRY , MS GEN SURGERY , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurology/doctor/dr-deepak-keshav-bhangale"
88,"Dr. Deepak Keshav Bhangale","Neurosurgery 
                                                    Neurosciences","MCH NEUROSUREGRY , MS GEN SURGERY , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurosurgery/doctor/dr-deepak-keshav-bhangale"
89,"Dr. Deepak Sarin","Head & Neck Cancer Thyroid & Parathyroid Surgery 
                                                    Cancer Care","Fellowship (Head and Neck Oncology) , D.N.B. (Otolaryngology) , M.S. (Otolaryngology) Gold Medal , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-deepak-sarin"
90,"Dr. Deepak Sarin","Head & Neck Cancer Thyroid & Parathyroid Surgery 
                                                    Cancer Care","Fellowship (Head and Neck Oncology) , D.N.B. (Otolaryngology) , M.S. (Otolaryngology) Gold Medal , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/head-neck/doctor/dr-deepak-sarin"
91,"Dr. Deepti Yadav","Clinical & Preventive Cardiology 
                                                    Cardiac Care","D.M ( Cardiology ), 
M.D ( Medicine ), 
M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-deepti-yadav"
92,"Dr. Deepti Yadav","Clinical & Preventive Cardiology 
                                                    Cardiac Care","D.M ( Cardiology ), 
M.D ( Medicine ), 
M.B.B.S","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-deepti-yadav"
93,"Dr. Dhanesh Kumar","Cardiac Surgery 
                                                    Cardiac Care","DrNB (Cardiothoracic and Vascular Surgery) - National Heart Institute New Delhi,
MBBS - PGIMS Rohtak,","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-dhanesh-kumar"
94,"Dr. Dhanesh Kumar","Cardiac Surgery 
                                                    Cardiac Care","DrNB (Cardiothoracic and Vascular Surgery) - National Heart Institute New Delhi,
MBBS - PGIMS Rohtak,","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiac-surgery/doctor/dr-dhanesh-kumar"
95,"Dr. Dheeraj Gautam","Lab & Pathology","Advanced Program in Strategic Management , Visiting Fellowship (Transplant Pathology) , MD (Pathology) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/lab-pathology/doctor/dr-dheeraj-gautam"
96,"Dr. Dhwanee Thakkar","Paediatric Bone Marrow Transplant 
                                                    Medical Oncology 
                                                    Bone Marrow Transplant 
                                                    Cancer Care","Fellowship in Haemostasis and Thrombosis, 
Fellowship of National Board (FNB) in Paediatric Haematology Oncology, 
IAP Fellowship, Paediatric Haematology Oncology and Bone Marrow Transplant , 
M.D. Paediatrics , 
M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/bone-marrow-transplant/doctor/dr-dhwanee-thakkar"
